variable	selected.by.training	model.type	evaluated.on	perf.final	perf.auc	perf.accu
1000	FALSE	basic	test	0.515440	0.758000	0.680000
1000	FALSE	basic	test.seen	0.667118	0.819602	0.813953
1000	FALSE	basic	test.unseen	0.415654	0.717949	0.578947
1000	FALSE	basic	train	0.653640	0.838000	0.780000
1000	TRUE	GI	test	0.588672	0.817600	0.720000
1000	TRUE	GI	test.seen	0.675475	0.907670	0.744186
1000	TRUE	GI	test.unseen	0.561803	0.800570	0.701754
1000	TRUE	GI	train	0.646954	0.840200	0.770000
1000	FALSE	meta	test	0.447488	0.699200	0.640000
1000	FALSE	meta	test.seen	0.686773	0.843750	0.813953
1000	FALSE	meta	test.unseen	0.319613	0.628205	0.508772
1000	FALSE	meta	train	0.710120	0.866000	0.820000
1000	FALSE	univ	test	0.473020	0.706000	0.670000
1000	FALSE	univ	test.seen	0.613240	0.775568	0.790698
1000	FALSE	univ	test.unseen	0.403283	0.696581	0.578947
1000	FALSE	univ	train	0.598136	0.776800	0.770000
100	FALSE	basic	test	0.282132	0.553200	0.510000
100	FALSE	basic	test.seen	0.344080	0.616477	0.558140
100	FALSE	basic	test.unseen	0.270917	0.571937	0.473684
100	FALSE	basic	train	0.513792	0.713600	0.720000
100	TRUE	GI	test	0.300664	0.578200	0.520000
100	TRUE	GI	test.seen	0.371531	0.694602	0.534884
100	TRUE	GI	test.unseen	0.274679	0.539886	0.508772
100	TRUE	GI	train	0.466856	0.696800	0.670000
100	FALSE	meta	test	0.281016	0.520400	0.540000
100	FALSE	meta	test.seen	0.306554	0.454545	0.674419
100	FALSE	meta	test.unseen	0.241166	0.549858	0.438596
100	FALSE	meta	train	0.321900	0.555000	0.580000
100	FALSE	univ	test	0.246844	0.525200	0.470000
100	FALSE	univ	test.seen	0.227933	0.490057	0.465116
100	FALSE	univ	test.unseen	0.253036	0.534188	0.473684
100	FALSE	univ	train	0.294948	0.546200	0.540000
120	FALSE	basic	test	0.442624	0.691600	0.640000
120	FALSE	basic	test.seen	0.469411	0.696023	0.674419
120	FALSE	basic	test.unseen	0.447843	0.729345	0.614035
120	FALSE	basic	train	0.576600	0.768800	0.750000
120	FALSE	GI	test	0.469950	0.723000	0.650000
120	FALSE	GI	test.seen	0.675211	0.829545	0.813953
120	FALSE	GI	test.unseen	0.395112	0.750712	0.526316
120	FALSE	GI	train	0.435760	0.670400	0.650000
120	FALSE	meta	test	NA	NA	NA
120	FALSE	meta	test.seen	NA	NA	NA
120	FALSE	meta	test.unseen	NA	NA	NA
120	FALSE	meta	train	NA	NA	NA
120	TRUE	univ	test	0.327636	0.574800	0.570000
120	TRUE	univ	test.seen	0.356369	0.528409	0.674419
120	TRUE	univ	test.unseen	0.282351	0.574786	0.491228
120	TRUE	univ	train	0.281944	0.542200	0.520000
140	FALSE	basic	test	0.396744	0.650400	0.610000
140	FALSE	basic	test.seen	0.424287	0.701705	0.604651
140	FALSE	basic	test.unseen	0.374806	0.610399	0.614035
140	FALSE	basic	train	0.603450	0.804600	0.750000
140	TRUE	GI	test	0.470152	0.691400	0.680000
140	TRUE	GI	test.seen	0.557082	0.772727	0.720930
140	TRUE	GI	test.unseen	0.459564	0.707977	0.649123
140	TRUE	GI	train	0.599640	0.789000	0.760000
140	FALSE	meta	test	0.358672	0.618400	0.580000
140	FALSE	meta	test.seen	0.284884	0.556818	0.511628
140	FALSE	meta	test.unseen	0.414755	0.656695	0.631579
140	FALSE	meta	train	0.601768	0.813200	0.740000
140	FALSE	univ	test	0.238728	0.487200	0.490000
140	FALSE	univ	test.seen	0.232492	0.434659	0.534884
140	FALSE	univ	test.unseen	0.231969	0.508547	0.456140
140	FALSE	univ	train	0.467584	0.730600	0.640000
160	FALSE	basic	test	0.463840	0.713600	0.650000
160	FALSE	basic	test.seen	0.440671	0.653409	0.674419
160	FALSE	basic	test.unseen	0.475034	0.752137	0.631579
160	FALSE	basic	train	0.595996	0.805400	0.740000
160	TRUE	GI	test	0.506220	0.767000	0.660000
160	TRUE	GI	test.seen	0.578752	0.829545	0.697674
160	TRUE	GI	test.unseen	0.473235	0.749288	0.631579
160	TRUE	GI	train	0.508786	0.716600	0.710000
160	FALSE	meta	test	0.583056	0.809800	0.720000
160	FALSE	meta	test.seen	0.732558	0.875000	0.837209
160	FALSE	meta	test.unseen	0.508772	0.805556	0.631579
160	FALSE	meta	train	0.560832	0.812800	0.690000
160	FALSE	univ	test	0.478236	0.724600	0.660000
160	FALSE	univ	test.seen	0.669398	0.846591	0.790698
160	FALSE	univ	test.unseen	0.365073	0.650285	0.561404
160	FALSE	univ	train	0.364536	0.597600	0.610000
180	FALSE	basic	test	0.325584	0.581400	0.560000
180	FALSE	basic	test.seen	0.276163	0.593750	0.465116
180	FALSE	basic	test.unseen	0.340081	0.538462	0.631579
180	FALSE	basic	train	0.586524	0.792600	0.740000
180	TRUE	GI	test	0.398486	0.675400	0.590000
180	TRUE	GI	test.seen	0.447608	0.769886	0.581395
180	TRUE	GI	test.unseen	0.398510	0.668091	0.596491
180	TRUE	GI	train	0.435052	0.713200	0.610000
180	FALSE	meta	test	0.475456	0.699200	0.680000
180	FALSE	meta	test.seen	0.617006	0.803977	0.767442
180	FALSE	meta	test.unseen	0.418104	0.680912	0.614035
180	FALSE	meta	train	0.446028	0.719400	0.620000
180	FALSE	univ	test	0.233872	0.497600	0.470000
180	FALSE	univ	test.seen	0.182875	0.491477	0.372093
180	FALSE	univ	test.unseen	0.291686	0.536325	0.543860
180	FALSE	univ	train	0.322112	0.575200	0.560000
200	FALSE	basic	test	0.302206	0.570200	0.530000
200	FALSE	basic	test.seen	0.235862	0.482955	0.488372
200	FALSE	basic	test.unseen	0.324687	0.578348	0.561404
200	FALSE	basic	train	0.550800	0.734400	0.750000
200	TRUE	GI	test	0.455700	0.735000	0.620000
200	TRUE	GI	test.seen	0.444173	0.707386	0.627907
200	TRUE	GI	test.unseen	0.461838	0.752137	0.614035
200	TRUE	GI	train	0.554544	0.770200	0.720000
200	FALSE	meta	test	0.434322	0.689400	0.630000
200	FALSE	meta	test.seen	0.411172	0.654830	0.627907
200	FALSE	meta	test.unseen	0.446244	0.706553	0.631579
200	FALSE	meta	train	0.527408	0.775600	0.680000
200	FALSE	univ	test	0.459624	0.696400	0.660000
200	FALSE	univ	test.seen	0.449525	0.690341	0.651163
200	FALSE	univ	test.unseen	0.460589	0.690883	0.666667
200	FALSE	univ	train	0.448508	0.723400	0.620000
20	FALSE	basic	test	0.294084	0.544600	0.540000
20	FALSE	basic	test.seen	0.320032	0.491477	0.651163
20	FALSE	basic	test.unseen	0.263808	0.578348	0.456140
20	FALSE	basic	train	0.431730	0.664200	0.650000
20	FALSE	GI	test	0.306720	0.568000	0.540000
20	FALSE	GI	test.seen	0.387982	0.617898	0.627907
20	FALSE	GI	test.unseen	0.253374	0.534900	0.473684
20	FALSE	GI	train	0.332288	0.563200	0.590000
20	FALSE	meta	test	0.265000	0.530000	0.500000
20	FALSE	meta	test.seen	0.372093	0.500000	0.744186
20	FALSE	meta	test.unseen	0.165317	0.523504	0.315789
20	FALSE	meta	train	0.275000	0.550000	0.500000
20	TRUE	univ	test	0.206048	0.438400	0.470000
20	TRUE	univ	test.seen	0.142706	0.255682	0.558140
20	TRUE	univ	test.unseen	0.169566	0.420228	0.403509
20	TRUE	univ	train	0.342432	0.590400	0.580000
300	FALSE	basic	test	0.291616	0.560800	0.520000
300	FALSE	basic	test.seen	0.324128	0.633523	0.511628
300	FALSE	basic	test.unseen	0.293147	0.556980	0.526316
300	FALSE	basic	train	0.797392	0.927200	0.860000
300	TRUE	GI	test	0.518280	0.740400	0.700000
300	TRUE	GI	test.seen	0.719477	0.937500	0.767442
300	TRUE	GI	test.unseen	0.434135	0.668803	0.649123
300	TRUE	GI	train	0.588744	0.795600	0.740000
300	FALSE	meta	test	0.420588	0.667600	0.630000
300	FALSE	meta	test.seen	0.651890	0.849432	0.767442
300	FALSE	meta	test.unseen	0.315640	0.599715	0.526316
300	FALSE	meta	train	0.627152	0.825200	0.760000
300	FALSE	univ	test	NA	NA	NA
300	FALSE	univ	test.seen	NA	NA	NA
300	FALSE	univ	test.unseen	NA	NA	NA
300	FALSE	univ	train	NA	NA	NA
400	FALSE	basic	test	0.465400	0.716000	0.650000
400	FALSE	basic	test.seen	0.497688	0.792614	0.627907
400	FALSE	basic	test.unseen	0.478633	0.717949	0.666667
400	FALSE	basic	train	0.477184	0.745600	0.640000
400	FALSE	GI	test	0.476910	0.757000	0.630000
400	FALSE	GI	test.seen	0.555893	0.853693	0.651163
400	FALSE	GI	test.unseen	0.451342	0.735043	0.614035
400	FALSE	GI	train	0.530740	0.758200	0.700000
400	FALSE	meta	test	0.496188	0.751800	0.660000
400	FALSE	meta	test.seen	0.498150	0.823864	0.604651
400	FALSE	meta	test.unseen	0.529814	0.754986	0.701754
400	FALSE	meta	train	0.528402	0.765800	0.690000
