author.x	filename.x	author.y	filename.y	same.author	train.set	train.or.test	case.id	answer	author.seen
tsa	1858-tsa-thbnth:1851-tsa-ttw	wta	1867-wta-saf	FALSE	TRUE	train	1858-tsa-thbnth:1851-tsa-ttw 1867-wta-saf	0	TRUE
amd	1902-amd-algiod:1893-amd-itkc	wdh	1909-wdh-sec	FALSE	TRUE	train	1902-amd-algiod:1893-amd-itkc 1909-wdh-sec	0	TRUE
mt	1889-mt-acyikac:1876-mt-taots	rwc	1902-rwc-tmaa	FALSE	TRUE	train	1889-mt-acyikac:1876-mt-taots 1902-rwc-tmaa	0	TRUE
cdw	1874-cdw-batsot:1872-cdw-s	cdw	1899-cdw-tf	TRUE	TRUE	train	1874-cdw-batsot:1872-cdw-s 1899-cdw-tf	1	TRUE
mh	1880-mh-csith-nf:1909-mh-tsoall-a	sw	1866-sw-twwfe	FALSE	TRUE	train	1880-mh-csith-nf:1909-mh-tsoall-a 1866-sw-twwfe	0	TRUE
ew	1917-ew-s:1918-ew-tm-sh	ew	1916-ew-x-sh	TRUE	TRUE	train	1917-ew-s:1918-ew-tm-sh 1916-ew-x-sh	1	TRUE
rwc	1895-rwc-tkiy:1901-rwc-c	cfw	1873-cfw-tosh	FALSE	TRUE	train	1895-rwc-tkiy:1901-rwc-c 1873-cfw-tosh	0	TRUE
es	1887-es-mim:1888-es-e	rwc	1904-rwc-tr	FALSE	TRUE	train	1887-es-mim:1888-es-e 1904-rwc-tr	0	TRUE
mh	1909-mh-tsoall-a:1870-mh-al	ga	1902-ga-tc	FALSE	TRUE	train	1909-mh-tsoall-a:1870-mh-al 1902-ga-tc	0	TRUE
wta	1893-wta-avu:1871-wta-utb	rwc	1920-rwc-tlrf	FALSE	TRUE	train	1893-wta-avu:1871-wta-utb 1920-rwc-tlrf	0	TRUE
ew	1916-ew-x-sh:1918-ew-tm-sh	ew	1917-ew-s	TRUE	TRUE	train	1916-ew-x-sh:1918-ew-tm-sh 1917-ew-s	1	TRUE
mh	1880-mh-csith-nf:1873-mh-j	ew	1917-ew-s	FALSE	TRUE	train	1880-mh-csith-nf:1873-mh-j 1917-ew-s	0	TRUE
mh	1870-mh-al:1875-mh-blat-nf	mh	1880-mh-csith-nf	TRUE	TRUE	train	1870-mh-al:1875-mh-blat-nf 1880-mh-csith-nf	1	TRUE
wta	1868-wta-osb:1865-wta-tyl	ga	1916-ga-mb	FALSE	TRUE	train	1868-wta-osb:1865-wta-tyl 1916-ga-mb	0	TRUE
hm	1903-hm-tgc:1920-hm-tpm	wdh	1913-wdh-fst	FALSE	TRUE	train	1903-hm-tgc:1920-hm-tpm 1913-wdh-fst	0	TRUE
ew	1917-ew-s:1918-ew-tm-sh	cfw	1895-cfw-daois	FALSE	TRUE	train	1917-ew-s:1918-ew-tm-sh 1895-cfw-daois	0	TRUE
sw	1872-sw-t:1852-sw-q	lma	1854-lma-ff	FALSE	TRUE	train	1872-sw-t:1852-sw-q 1854-lma-ff	0	TRUE
mt	1880-mt-ata:1876-mt-taots	ga	1905-ga-tbitf	FALSE	TRUE	train	1880-mt-ata:1876-mt-taots 1905-ga-tbitf	0	TRUE
cdw	1872-cdw-s:1877-cdw-bab	cdw	1874-cdw-batsot	TRUE	TRUE	train	1872-cdw-s:1877-cdw-bab 1874-cdw-batsot	1	TRUE
wta	1865-wta-tyl:1864-wta-waw	wta	1895-wta-ai	TRUE	TRUE	train	1865-wta-tyl:1864-wta-waw 1895-wta-ai	1	TRUE
tsa	1851-tsa-lilfawwrt:1851-tsa-ttw	tsa	1890-tsa-absal	TRUE	TRUE	train	1851-tsa-lilfawwrt:1851-tsa-ttw 1890-tsa-absal	1	TRUE
hm	1912-hm-tpoh:1903-hm-tgc	hm	1910-hm-sh	TRUE	TRUE	train	1912-hm-tpoh:1903-hm-tgc 1910-hm-sh	1	TRUE
wdh	1901-wdh-apopl:1915-wdh-tdots	es	1884-es-b	FALSE	TRUE	train	1901-wdh-apopl:1915-wdh-tdots 1884-es-b	0	TRUE
cfw	1882-cfw-a:1873-cfw-tosh	ew	1918-ew-tm-sh	FALSE	TRUE	train	1882-cfw-a:1873-cfw-tosh 1918-ew-tm-sh	0	TRUE
hm	1912-hm-tpoh:1910-hm-sh	es	1894-es-e	FALSE	TRUE	train	1912-hm-tpoh:1910-hm-sh 1894-es-e	0	TRUE
wdh	1881-wdh-ami:1871-wdh-twj	wdh	1913-wdh-fst	TRUE	TRUE	train	1881-wdh-ami:1871-wdh-twj 1913-wdh-fst	1	TRUE
ga	1905-ga-tbitf:1898-ga-tc	tsa	1856-tsa-woc	FALSE	TRUE	train	1905-ga-tbitf:1898-ga-tc 1856-tsa-woc	0	TRUE
amd	1908-amd-algios:1897-amd-algola	hm	1920-hm-tpm	FALSE	TRUE	train	1908-amd-algios:1897-amd-algola 1920-hm-tpm	0	TRUE
cfw	1895-cfw-tfyaois:1895-cfw-daois	cfw	1882-cfw-a	TRUE	TRUE	train	1895-cfw-tfyaois:1895-cfw-daois 1882-cfw-a	1	TRUE
ga	1906-ga-r:1888-ga-wdmc	cdw	1899-cdw-tf	FALSE	TRUE	train	1906-ga-r:1888-ga-wdmc 1899-cdw-tf	0	TRUE
