variable	selected.by.training	model.type	evaluated.on	perf.final	perf.auc	perf.accu
1	FALSE	basic	test	0.275597	0.524694	0.525253
1	FALSE	basic	test.seen	0.446830	0.698889	0.639344
1	FALSE	basic	test.unseen	0.101308	0.296131	0.342105
1	FALSE	basic	train	0.592610	0.782245	0.757576
1	TRUE	GI	test	0.321983	0.549592	0.585859
1	TRUE	GI	test.seen	0.502841	0.713333	0.704918
1	TRUE	GI	test.unseen	0.139215	0.352679	0.394737
1	TRUE	GI	train	0.474286	0.711429	0.666667
1	FALSE	meta	test	0.324379	0.594694	0.545455
1	FALSE	meta	test.seen	0.574900	0.815556	0.704918
1	FALSE	meta	test.unseen	0.092184	0.318452	0.289474
1	FALSE	meta	train	0.634286	0.848571	0.747475
1	FALSE	univ	test	0.295845	0.574286	0.515152
1	FALSE	univ	test.seen	0.423743	0.662778	0.639344
1	FALSE	univ	test.unseen	0.139097	0.440476	0.315789
1	FALSE	univ	train	0.352504	0.606122	0.581573
2	FALSE	basic	test	0.341000	0.550000	0.620000
2	FALSE	basic	test.seen	0.385737	0.591463	0.652174
2	FALSE	basic	test.unseen	0.257576	0.469697	0.548387
2	FALSE	basic	train	0.631864	0.831400	0.760000
2	TRUE	GI	test	0.444654	0.705800	0.630000
2	TRUE	GI	test.seen	0.577880	0.797474	0.724638
2	TRUE	GI	test.unseen	0.271098	0.646465	0.419355
2	TRUE	GI	train	0.560348	0.767600	0.730000
2	FALSE	meta	test	0.341202	0.598600	0.570000
2	FALSE	meta	test.seen	0.408745	0.626742	0.652174
2	FALSE	meta	test.unseen	0.224829	0.580808	0.387097
2	FALSE	meta	train	0.511704	0.741600	0.690000
2	FALSE	univ	test	0.274540	0.518000	0.530000
2	FALSE	univ	test.seen	0.376458	0.618467	0.608696
2	FALSE	univ	test.unseen	0.108423	0.305556	0.354839
2	FALSE	univ	train	0.464848	0.683600	0.680000
3	FALSE	basic	test	0.391592	0.631600	0.620000
3	FALSE	basic	test.seen	0.325170	0.566964	0.573529
3	FALSE	basic	test.unseen	0.548863	0.763636	0.718750
3	FALSE	basic	train	0.565160	0.796000	0.710000
3	TRUE	GI	test	0.363552	0.649200	0.560000
3	TRUE	GI	test.seen	0.418829	0.694643	0.602941
3	TRUE	GI	test.unseen	0.256747	0.547727	0.468750
3	TRUE	GI	train	0.488400	0.740000	0.660000
3	FALSE	meta	test	0.404064	0.662400	0.610000
3	FALSE	meta	test.seen	0.430790	0.681250	0.632353
3	FALSE	meta	test.unseen	0.370739	0.659091	0.562500
3	FALSE	meta	train	0.665588	0.864400	0.770000
3	FALSE	univ	test	0.394993	0.637600	0.619500
3	FALSE	univ	test.seen	0.376830	0.620536	0.607266
3	FALSE	univ	test.unseen	0.479004	0.743182	0.644531
3	FALSE	univ	train	0.358891	0.604600	0.593600
4	FALSE	basic	test	0.404144	0.696800	0.580000
4	FALSE	basic	test.seen	0.414102	0.708333	0.584615
4	FALSE	basic	test.unseen	0.394558	0.690476	0.571429
4	FALSE	basic	train	0.645440	0.806800	0.800000
4	TRUE	GI	test	0.506184	0.733600	0.690000
4	TRUE	GI	test.seen	0.548541	0.758621	0.723077
4	TRUE	GI	test.unseen	0.423323	0.673469	0.628571
4	TRUE	GI	train	0.562992	0.760800	0.740000
4	FALSE	meta	test	0.465114	0.694200	0.670000
4	FALSE	meta	test.seen	0.527763	0.729885	0.723077
4	FALSE	meta	test.unseen	0.353742	0.619048	0.571429
4	FALSE	meta	train	0.568512	0.789600	0.720000
4	FALSE	univ	test	0.446940	0.687600	0.650000
4	FALSE	univ	test.seen	0.488240	0.721264	0.676923
4	FALSE	univ	test.unseen	0.401020	0.668367	0.600000
4	FALSE	univ	train	0.523728	0.727400	0.720000
5	FALSE	basic	test	0.397110	0.651000	0.610000
5	FALSE	basic	test.seen	0.546490	0.774194	0.705882
5	FALSE	basic	test.unseen	0.286431	0.561404	0.510204
5	FALSE	basic	train	0.609976	0.802600	0.760000
5	TRUE	GI	test	0.487476	0.738600	0.660000
5	TRUE	GI	test.seen	0.577467	0.795968	0.725490
5	TRUE	GI	test.unseen	0.404422	0.683333	0.591837
5	TRUE	GI	train	0.652190	0.847000	0.770000
5	FALSE	meta	test	0.496604	0.741200	0.670000
5	FALSE	meta	test.seen	0.603795	0.832258	0.725490
5	FALSE	meta	test.unseen	0.415682	0.678947	0.612245
5	FALSE	meta	train	0.708156	0.896400	0.790000
5	FALSE	univ	test	0.349752	0.613600	0.570000
5	FALSE	univ	test.seen	0.305060	0.598387	0.509804
5	FALSE	univ	test.unseen	0.418994	0.662281	0.632653
5	FALSE	univ	train	0.423088	0.682400	0.620000
