variable	selected.by.training	model.type	evaluated.on	perf.final	perf.auc	perf.accu
1000	FALSE	basic	test	NA	NA	NA
1000	FALSE	basic	test.seen	NA	NA	NA
1000	FALSE	basic	test.unseen	NA	NA	NA
1000	FALSE	basic	train	NA	NA	NA
1000	TRUE	GI	test	0.461208	0.698800	0.660000
1000	TRUE	GI	test.seen	0.472303	0.734694	0.642857
1000	TRUE	GI	test.unseen	0.510253	0.758838	0.672414
1000	TRUE	GI	train	0.396918	0.654980	0.606000
1000	FALSE	meta	test	0.476136	0.700200	0.680000
1000	FALSE	meta	test.seen	0.480503	0.747449	0.642857
1000	FALSE	meta	test.unseen	0.525264	0.743056	0.706897
1000	FALSE	meta	train	0.452315	0.694800	0.651000
1000	FALSE	univ	test	0.342160	0.611000	0.560000
1000	FALSE	univ	test.seen	0.356232	0.650510	0.547619
1000	FALSE	univ	test.unseen	0.364584	0.640783	0.568966
1000	FALSE	univ	train	0.380860	0.637956	0.597000
100	FALSE	basic	test	0.419616	0.676800	0.620000
100	FALSE	basic	test.seen	0.304622	0.517857	0.588235
100	FALSE	basic	test.unseen	0.470370	0.739153	0.636364
100	FALSE	basic	train	0.545040	0.757000	0.720000
100	FALSE	GI	test	0.439454	0.713400	0.616000
100	FALSE	GI	test.seen	0.652651	0.773810	0.843426
100	FALSE	GI	test.unseen	0.371353	0.738636	0.502755
100	FALSE	GI	train	0.286746	0.584600	0.490500
100	FALSE	meta	test	0.299090	0.543800	0.550000
100	FALSE	meta	test.seen	0.423057	0.532738	0.794118
100	FALSE	meta	test.unseen	0.233596	0.550620	0.424242
100	FALSE	meta	train	0.294256	0.555200	0.530000
100	TRUE	univ	test	0.400892	0.657200	0.610000
100	TRUE	univ	test.seen	0.319328	0.571429	0.558824
100	TRUE	univ	test.unseen	0.459523	0.722107	0.636364
100	TRUE	univ	train	0.421724	0.680200	0.620000
200	FALSE	basic	test	NA	NA	NA
200	FALSE	basic	test.seen	NA	NA	NA
200	FALSE	basic	test.unseen	NA	NA	NA
200	FALSE	basic	train	NA	NA	NA
