variable	selected.by.training	model.type	evaluated.on	perf.final	perf.auc	perf.accu
10	FALSE	basic	test	NA	NA	NA
10	FALSE	basic	test.seen	NA	NA	NA
10	FALSE	basic	test.unseen	NA	NA	NA
10	FALSE	basic	train	NA	NA	NA
10	TRUE	GI	test	0.414904	0.669200	0.620000
10	TRUE	GI	test.seen	0.536199	0.774510	0.692308
10	TRUE	GI	test.unseen	0.376841	0.633777	0.594595
10	TRUE	GI	train	0.470976	0.713600	0.660000
10	FALSE	meta	test	0.277296	0.523200	0.530000
10	FALSE	meta	test.seen	0.401709	0.614379	0.653846
10	FALSE	meta	test.unseen	0.241265	0.495935	0.486486
10	FALSE	meta	train	0.553224	0.747600	0.740000
10	FALSE	univ	test	0.351944	0.606800	0.580000
10	FALSE	univ	test.seen	0.544495	0.745098	0.730769
10	FALSE	univ	test.unseen	0.287470	0.545455	0.527027
10	FALSE	univ	train	0.363312	0.626400	0.580000
11	FALSE	basic	test	0.426888	0.677600	0.630000
11	FALSE	basic	test.seen	0.440166	0.695000	0.633333
11	FALSE	basic	test.unseen	0.429000	0.682500	0.628571
11	FALSE	basic	train	0.491640	0.723000	0.680000
11	TRUE	GI	test	0.353058	0.619400	0.570000
11	TRUE	GI	test.seen	0.457583	0.722500	0.633333
11	TRUE	GI	test.unseen	0.318250	0.586250	0.542857
11	TRUE	GI	train	0.531790	0.749000	0.710000
11	FALSE	meta	test	0.376892	0.638800	0.590000
11	FALSE	meta	test.seen	0.402000	0.670000	0.600000
11	FALSE	meta	test.unseen	0.365583	0.624167	0.585714
11	FALSE	meta	train	0.573396	0.807600	0.710000
11	FALSE	univ	test	0.321420	0.584400	0.550000
11	FALSE	univ	test.seen	0.339000	0.565000	0.600000
11	FALSE	univ	test.unseen	0.313619	0.593333	0.528571
11	FALSE	univ	train	0.490552	0.721400	0.680000
12	FALSE	basic	test	0.301620	0.548400	0.550000
12	FALSE	basic	test.seen	0.449219	0.625000	0.718750
12	FALSE	basic	test.unseen	0.253782	0.539286	0.470588
12	FALSE	basic	train	0.503336	0.740200	0.680000
12	TRUE	GI	test	0.418698	0.664600	0.630000
12	TRUE	GI	test.seen	0.566406	0.725000	0.781250
12	TRUE	GI	test.unseen	0.356001	0.637054	0.558824
12	TRUE	GI	train	0.367080	0.644000	0.570000
12	FALSE	meta	test	0.262640	0.536000	0.490000
12	FALSE	meta	test.seen	0.215909	0.431818	0.500000
12	FALSE	meta	test.unseen	0.275578	0.567857	0.485294
12	FALSE	meta	train	0.429952	0.671800	0.640000
12	FALSE	univ	test	0.276828	0.542800	0.510000
12	FALSE	univ	test.seen	0.309375	0.550000	0.562500
12	FALSE	univ	test.unseen	0.277311	0.571429	0.485294
12	FALSE	univ	train	0.312064	0.588800	0.530000
2	FALSE	basic	test	0.320760	0.583200	0.550000
2	FALSE	basic	test.seen	NA	\NA	NA
2	FALSE	basic	test.unseen	0.320760	0.583200	0.550000
2	FALSE	basic	train	0.694008	0.856800	0.810000
2	TRUE	GI	test	0.374448	0.645600	0.580000
2	TRUE	GI	test.seen	NA	\NA	NA
2	TRUE	GI	test.unseen	0.374448	0.645600	0.580000
2	TRUE	GI	train	0.604440	0.828000	0.730000
2	FALSE	meta	test	0.345072	0.616200	0.560000
2	FALSE	meta	test.seen	NA	\NA	NA
2	FALSE	meta	test.unseen	0.345072	0.616200	0.560000
2	FALSE	meta	train	0.687932	0.870800	0.790000
2	FALSE	univ	test	0.308772	0.571800	0.540000
2	FALSE	univ	test.seen	NA	\NA	NA
2	FALSE	univ	test.unseen	0.308772	0.571800	0.540000
2	FALSE	univ	train	0.470448	0.712800	0.660000
3	FALSE	basic	test	0.315668	0.595600	0.530000
3	FALSE	basic	test.seen	NA	\NA	NA
3	FALSE	basic	test.unseen	0.315668	0.595600	0.530000
3	FALSE	basic	train	0.548784	0.762200	0.720000
3	TRUE	GI	test	0.323760	0.568000	0.570000
3	TRUE	GI	test.seen	NA	\NA	NA
3	TRUE	GI	test.unseen	0.323760	0.568000	0.570000
3	TRUE	GI	train	0.626088	0.823800	0.760000
3	FALSE	meta	test	0.247488	0.515600	0.480000
3	FALSE	meta	test.seen	NA	\NA	NA
3	FALSE	meta	test.unseen	0.247488	0.515600	0.480000
3	FALSE	meta	train	0.601008	0.790800	0.760000
3	FALSE	univ	test	0.351132	0.605400	0.580000
3	FALSE	univ	test.seen	NA	\NA	NA
3	FALSE	univ	test.unseen	0.351132	0.605400	0.580000
3	FALSE	univ	train	0.333760	0.596000	0.560000
4	FALSE	basic	test	0.314496	0.582400	0.540000
4	FALSE	basic	test.seen	0.219780	0.476190	0.461538
4	FALSE	basic	test.unseen	0.330685	0.599366	0.551724
4	FALSE	basic	train	0.516312	0.727200	0.710000
4	TRUE	GI	test	0.318630	0.559000	0.570000
4	TRUE	GI	test.seen	0.380953	0.619048	0.615385
4	TRUE	GI	test.unseen	0.309293	0.549154	0.563218
4	TRUE	GI	train	0.455040	0.711000	0.640000
4	FALSE	meta	test	0.350112	0.625200	0.560000
4	FALSE	meta	test.seen	0.274725	0.595238	0.461538
4	FALSE	meta	test.unseen	0.362233	0.630285	0.574713
4	FALSE	meta	train	0.586376	0.792400	0.740000
4	FALSE	univ	test	0.267968	0.505600	0.530000
4	FALSE	univ	test.seen	0.351649	0.571429	0.615385
4	FALSE	univ	test.unseen	0.254793	0.492600	0.517241
4	FALSE	univ	train	0.420856	0.678800	0.620000
5	TRUE	basic	test	0.284796	0.527400	0.540000
5	TRUE	basic	test.seen	0.725275	0.857143	0.846154
5	TRUE	basic	test.unseen	0.235240	0.475951	0.494253
5	TRUE	basic	train	0.629552	0.817600	0.770000
5	FALSE	GI	test	0.447984	0.658800	0.680000
5	FALSE	GI	test.seen	0.358974	0.583333	0.615385
5	FALSE	GI	test.unseen	0.462018	0.669926	0.689655
5	FALSE	GI	train	0.393080	0.634000	0.620000
5	FALSE	meta	test	0.340974	0.598200	0.570000
5	FALSE	meta	test.seen	0.659341	0.857143	0.769231
5	FALSE	meta	test.unseen	0.293529	0.543340	0.540230
5	FALSE	meta	train	0.631368	0.853200	0.740000
5	FALSE	univ	test	0.286308	0.530200	0.540000
5	FALSE	univ	test.seen	0.478022	0.690476	0.692308
5	FALSE	univ	test.unseen	0.256023	0.494979	0.517241
5	FALSE	univ	train	0.301728	0.538800	0.560000
6	FALSE	basic	test	0.347072	0.598400	0.580000
6	FALSE	basic	test.seen	0.482955	0.758929	0.636364
6	FALSE	basic	test.unseen	0.320852	0.568783	0.564103
6	FALSE	basic	train	0.476376	0.690400	0.690000
6	TRUE	GI	test	0.301952	0.539200	0.560000
6	TRUE	GI	test.seen	0.375000	0.589286	0.636364
6	TRUE	GI	test.unseen	0.284723	0.528770	0.538462
6	TRUE	GI	train	0.313060	0.569200	0.550000
6	FALSE	meta	test	0.313400	0.626800	0.500000
6	FALSE	meta	test.seen	0.298701	0.821429	0.363636
6	FALSE	meta	test.unseen	0.323362	0.600529	0.538462
6	FALSE	meta	train	0.396576	0.777600	0.510000
6	FALSE	univ	test	0.185850	0.413000	0.450000
6	FALSE	univ	test.seen	0.269075	0.455357	0.590909
6	FALSE	univ	test.unseen	0.166734	0.406415	0.410256
6	FALSE	univ	train	0.302176	0.539600	0.560000
7	FALSE	basic	test	0.343708	0.592600	0.580000
7	FALSE	basic	test.seen	0.411526	0.696429	0.590909
7	FALSE	basic	test.unseen	0.327381	0.567460	0.576923
7	FALSE	basic	train	0.539280	0.770400	0.700000
7	TRUE	GI	test	0.388920	0.648200	0.600000
7	TRUE	GI	test.seen	0.538149	0.696429	0.772727
7	TRUE	GI	test.unseen	0.354760	0.643519	0.551282
7	TRUE	GI	train	0.422676	0.716400	0.590000
7	FALSE	meta	test	NA	NA	NA
7	FALSE	meta	test.seen	NA	NA	NA
7	FALSE	meta	test.unseen	NA	NA	NA
7	FALSE	meta	train	NA	NA	NA
7	FALSE	univ	test	0.327332	0.554800	0.590000
7	FALSE	univ	test.seen	0.483767	0.665179	0.727273
7	FALSE	univ	test.unseen	0.291501	0.528770	0.551282
7	FALSE	univ	train	0.378544	0.641600	0.590000
8	FALSE	basic	test	0.289062	0.545400	0.530000
8	FALSE	basic	test.seen	0.380091	0.617647	0.615385
8	FALSE	basic	test.unseen	0.264782	0.529564	0.500000
8	FALSE	basic	train	0.572316	0.773400	0.740000
8	TRUE	GI	test	0.346416	0.618600	0.560000
8	TRUE	GI	test.seen	0.422323	0.732026	0.576923
8	TRUE	GI	test.unseen	0.314087	0.566888	0.554054
8	TRUE	GI	train	0.624150	0.832200	0.750000
8	FALSE	meta	test	0.382560	0.637600	0.600000
8	FALSE	meta	test.seen	0.524887	0.758170	0.692308
8	FALSE	meta	test.unseen	0.333913	0.588322	0.567568
8	FALSE	meta	train	0.599904	0.833200	0.720000
8	FALSE	univ	test	0.324912	0.580200	0.560000
8	FALSE	univ	test.seen	0.427350	0.653595	0.653846
8	FALSE	univ	test.unseen	0.290001	0.550259	0.527027
8	FALSE	univ	train	0.313248	0.602400	0.520000
9	FALSE	basic	test	0.309980	0.563600	0.550000
9	FALSE	basic	test.seen	0.520613	0.712418	0.730769
9	FALSE	basic	test.unseen	0.249356	0.512565	0.486486
9	FALSE	basic	train	0.570816	0.792800	0.720000
9	FALSE	GI	test	0.410760	0.652000	0.630000
9	FALSE	GI	test.seen	0.565611	0.735294	0.769231
9	FALSE	GI	test.unseen	0.356250	0.613082	0.581081
9	FALSE	GI	train	0.435078	0.690600	0.630000
9	FALSE	meta	test	0.386252	0.633200	0.610000
9	FALSE	meta	test.seen	0.533937	0.771242	0.692308
9	FALSE	meta	test.unseen	0.342722	0.589800	0.581081
9	FALSE	meta	train	0.583336	0.821600	0.710000
9	TRUE	univ	test	0.313040	0.559000	0.560000
9	TRUE	univ	test.seen	0.271242	0.542484	0.500000
9	TRUE	univ	test.unseen	0.335850	0.577975	0.581081
9	TRUE	univ	train	0.450048	0.703200	0.640000
